series,observed_epoch_s,package_C,mean_reported_MHz_P,mean_reported_MHz_E,cpu0_package_throttle_count
cool-02,1788839893.4828327,100.0,3111.49825,2933.841875,26058442
cool-02,1788839893.9844766,81.0,985.0538333333334,830.231125,26058459
cool-02,1788839894.487433,97.0,3275.6943333333334,2936.141,26058496
cool-02,1788839894.9890676,100.0,2999.9946666666665,2600.006,26058526
cool-02,1788839895.4950223,96.0,2124.83825,2053.017875,26058551
cool-02,1788839895.9965909,100.0,1708.0225833333334,2335.252875,26058587
cool-02,1788839896.4981613,100.0,3500.35675,3300.011625,26058622
cool-02,1788839897.0022798,98.0,3499.9989166666664,2900.0015,26058665
cool-02,1788839897.508155,100.0,3199.98875,2700.0365,26058719
cool-02,1788839898.0142057,100.0,3299.985833333333,2699.989375,26058765
cool-02,1788839898.5222335,96.0,2796.329583333333,2500.01425,26058816
cool-02,1788839899.024805,100.0,3144.0094166666668,2289.87575,26058858
cool-02,1788839899.5266514,100.0,860.0665833333334,407.451875,26058888
cool-02,1788839900.0302036,100.0,3599.9969166666665,2899.99925,26058953
cool-02,1788839900.5352097,98.0,2914.97325,2562.1373750000002,26059002
cool-02,1788839901.0381575,100.0,3516.407833333333,3000.002875,26059056
cool-02,1788839901.546204,100.0,3199.9888333333333,2700.03675,26059122
cool-02,1788839902.0488458,98.0,2895.820166666667,2738.311875,26059163
cool-02,1788839902.552789,100.0,3241.105666666667,2800.013,26059216
cool-02,1788839903.0566823,100.0,3300.0003333333334,2700.0077499999998,26059251
cool-02,1788839903.55932,96.0,3353.6585,2409.4276250000003,26059300
cool-02,1788839904.0625863,99.0,3109.911,2873.71175,26059354
cool-02,1788839904.565828,100.0,3003.271,2800.0335,26059414
cool-02,1788839905.069509,99.0,3430.8189166666666,2898.665,26059466
cool-02,1788839905.5731273,98.0,3280.806833333333,2435.79725,26059538
cool-02,1788839906.074824,97.0,3463.38825,2764.33825,26059593
cool-02,1788839906.5763633,97.0,3204.929166666667,2344.389375,26059653
cool-02,1788839907.077948,94.0,2803.1914166666666,2563.3428750000003,26059736
cool-02,1788839907.5833266,100.0,2857.2125,2769.4445,26059797
cool-02,1788839908.0853252,100.0,3566.6679166666668,3100.020375,26059835
cool-02,1788839908.5900915,97.0,3590.2771666666667,2921.199125,26059885
cool-02,1788839909.0948956,100.0,2998.902666666667,2600.00525,26059935
cool-02,1788839909.6062226,100.0,2894.466,2500.0190000000002,26059994
cool-02,1788839910.1098173,99.0,2296.8330833333334,591.523625,26060064
cool-02,1788839910.611729,97.0,3124.227083333333,2808.727625,26060107
cool-02,1788839911.1151998,100.0,3400.0025,2800.03025,26060165
cool-02,1788839911.6177819,100.0,1634.3595,1276.111375,26060230
cool-02,1788839912.1194541,96.0,3564.981333333333,2900.0065,26060285
cool-02,1788839912.6230497,100.0,3135.23225,2735.81475,26060344
cool-02,1788839913.1270423,98.0,2937.9776666666667,2901.7157500000003,26060414
cool-02,1788839913.6287787,96.0,2932.9695833333335,2612.864,26060452
cool-02,1788839914.1307821,100.0,3208.8454166666666,2902.2595,26060508
cool-02,1788839914.6325815,97.0,3278.98025,2699.91325,26060559
cool-02,1788839915.137733,91.0,2556.8263333333334,2958.7595,26060613
cool-02,1788839915.6395636,97.0,3048.0435833333336,2859.423375,26060668
cool-02,1788839916.1415122,100.0,2834.8060833333334,2397.178375,26060717
cool-02,1788839916.643267,100.0,3254.1695833333333,2563.958625,26060777
cool-02,1788839917.1449828,100.0,3548.9068333333335,2979.037125,26060828
cool-02,1788839917.6466467,100.0,1988.0850833333334,2956.32375,26060890
cool-02,1788839918.1504433,100.0,674.9968333333334,1213.211375,26060935
cool-02,1788839918.6542132,100.0,2800.014,2400.00675,26061003
cool-02,1788839919.1612153,100.0,2839.8065833333335,2461.62175,26061070
cool-02,1788839919.664864,100.0,2781.204333333333,1258.632125,26061120
cool-02,1788839920.1692123,100.0,3390.06,2799.99375,26061189
cool-02,1788839920.6722937,100.0,1223.1144166666666,749.54175,26061268
cool-02,1788839921.174122,100.0,3226.387333333333,2900.006875,26061339
cool-02,1788839921.6791441,98.0,3456.82725,3000.972625,26061409
cool-02,1788839922.180801,100.0,3028.9899166666664,2681.234125,26061460
cool-02,1788839922.6831956,97.0,2982.1031666666668,2700.034,26061517
cool-02,1788839923.1870627,96.0,2859.065916666667,2800.112125,26061554
cool-02,1788839923.6899912,94.0,3497.792,2900.011125,26061584
cool-02,1788839924.1950405,100.0,2891.1808333333333,2868.888875,26061613
cool-02,1788839924.6985576,100.0,2948.6678333333334,2811.610125,26061665
cool-02,1788839925.2008219,92.0,2389.9117499999998,2146.007125,26061717
cool-02,1788839925.7027035,100.0,3022.577583333333,2236.418125,26061751
cool-02,1788839926.205422,96.0,2725.0044166666667,3100.0175,26061806
cool-02,1788839926.710278,100.0,969.2569166666666,1019.02625,26061876
cool-02,1788839927.2162359,100.0,3289.085666666667,2700.017625,26061931
cool-02,1788839927.7231257,100.0,2877.004,2499.983,26062008
cool-02,1788839928.2343893,92.0,2460.0860000000002,2199.962875,26062020
cool-02,1788839928.7382162,100.0,791.9084166666667,519.689875,26062059
cool-02,1788839929.239944,98.0,3417.9015,2828.337375,26062115
cool-02,1788839929.7421272,90.0,3366.72475,2700.136875,26062133
cool-02,1788839930.2450736,92.0,1284.2041666666667,3259.236875,26062155
cool-02,1788839930.7482104,100.0,3516.5956666666666,2999.7045,26062172
cool-02,1788839931.2520623,84.0,1428.9514166666668,1079.606125,26062181
cool-02,1788839931.757032,98.0,3368.0595,2800.03375,26062201
cool-02,1788839932.262204,97.0,3166.6665,2699.984,26062228
cool-02,1788839932.767201,97.0,3116.68225,2599.999875,26062228
cool-02,1788839933.2742395,92.0,2966.659,2499.98875,26062228
cool-02,1788839933.7809181,93.0,3496.0159166666667,2799.9715,26062228
cool-02,1788839934.2884934,92.0,3101.875666666667,2600.013,26062228
cool-02,1788839934.7932944,87.0,1693.5599166666666,652.793125,26062228
cool-02,1788839935.2948587,100.0,2982.5333333333333,2699.532,26062261
cool-02,1788839935.796816,93.0,3183.94225,2700.0035000000003,26062271
cool-02,1788839936.299086,93.0,2896.6921666666667,2199.900125,26062271
cool-02,1788839936.8010373,92.0,3076.6568333333335,2600.1415,26062272
cool-02,1788839937.3029754,93.0,3250.08875,2500.03875,26062272
cool-02,1788839937.8062737,92.0,2883.3355833333335,2499.982875,26062272
cool-02,1788839938.313659,92.0,3171.828,2699.990375,26062274
cool-02,1788839938.815541,92.0,3365.1,2799.810625,26062280
cool-02,1788839939.317365,93.0,3083.15875,2600.09775,26062280
cool-02,1788839939.8197174,92.0,3183.32,2599.7875,26062280
cool-02,1788839940.3216655,93.0,2920.13425,2599.99325,26062280
cool-02,1788839940.8292584,87.0,2500.018666666667,1900.00225,26062280
cool-02,1788839941.3368857,89.0,1993.5960833333334,456.419875,26062280
cool-02,1788839941.8385391,93.0,3259.0743333333335,2700.35475,26062286
cool-02,1788839942.3403988,92.0,2778.9735,2600.093375,26062286
cool-02,1788839942.842308,94.0,3066.631083333333,2600.449125,26062286
cool-02,1788839943.34507,95.0,3268.0688333333333,2700.264625,26062290
cool-02,1788839943.8477447,96.0,3267.58725,2700.2556250000002,26062292
cool-02,1788839944.3521292,93.0,3608.00825,2587.263875,26062292
cool-02,1788839944.8557513,91.0,3196.4895,3100.02925,26062301
cool-02,1788839945.3577664,93.0,2721.340583333333,3100.255375,26062311
cool-02,1788839945.8593366,89.0,3152.914333333333,2700.60925,26062325
cool-02,1788839946.3612156,90.0,3277.149,2700.006875,26062332
cool-02,1788839946.8690627,92.0,2966.6721666666667,2500.01425,26062332
cool-02,1788839947.3775806,90.0,3249.95775,2699.079,26062332
cool-02,1788839947.8800185,92.0,3166.644166666667,2600.006,26062370
cool-02,1788839948.3850548,92.0,2983.337916666667,2499.98875,26062370
cool-02,1788839948.8952649,92.0,2866.65925,2499.9945,26062370
cool-02,1788839949.4012344,92.0,2883.3280833333333,2499.98375,26062370
cool-02,1788839949.9082286,93.0,2866.668833333333,2500.015875,26062370
cool-02,1788839950.4172432,92.0,2966.6714166666666,2500.02775,26062370
