leg,query,try,wall_s,cpu_s,busy_cores,gc_count,gc_pause_s
cool-01,3,3,0.029,0.3,10.8,0,0.0
cool-01,4,1,0.374,5.0,13.4,0,0.0
cool-01,4,2,0.468,7.0,14.9,3,0.09
cool-01,4,3,0.276,3.6,13.1,0,0.0
cool-01,5,1,2.758,37.3,13.5,5,0.11
cool-01,5,2,0.716,7.5,10.4,1,0.01
cool-01,5,3,0.601,6.2,10.3,2,0.03
cool-01,6,1,0.044,0.3,6.1,1,0.0
cool-01,6,2,0.023,0.2,6.4,0,0.0
cool-01,6,3,0.022,0.1,2.7,1,0.0
cool-01,7,1,0.23,2.3,10.1,0,0.0
cool-01,7,2,0.034,0.4,10.9,0,0.0
cool-01,7,3,0.022,0.2,11.1,0,0.0
cool-01,8,1,1.667,23.1,13.8,5,0.12
cool-01,8,2,0.595,9.1,15.3,1,0.02
cool-01,8,3,0.602,8.8,14.6,0,0.0
cool-01,9,1,1.001,14.7,14.6,4,0.1
cool-01,9,2,0.753,11.0,14.6,1,0.03
cool-01,9,3,0.669,10.5,15.6,0,0.0
cool-01,10,1,1.79,14.7,8.2,5,0.2
cool-01,10,2,0.426,3.7,8.7,2,0.1
cool-01,10,3,0.241,1.6,6.8,2,0.0
cool-01,11,1,1.665,22.7,13.7,3,0.18
cool-01,11,2,0.249,1.8,7.0,2,0.0
cool-01,11,3,0.242,1.6,6.6,1,0.02
cool-01,12,1,1.555,21.2,13.6,4,0.11
cool-01,12,2,0.721,9.2,12.7,1,0.03
cool-01,12,3,0.736,9.1,12.3,1,0.02
cool-01,13,1,2.624,30.7,11.7,8,0.46
cool-01,13,2,2.708,33.3,12.3,14,0.52
cool-01,13,3,2.445,27.9,11.4,12,0.4
cool-01,14,1,1.959,29.5,15.0,6,0.11
cool-01,14,2,1.052,14.7,14.0,2,0.11
cool-01,14,3,0.884,12.2,13.8,3,0.02
cool-01,15,1,1.136,19.9,17.5,5,0.15
cool-01,15,2,0.456,8.3,18.2,1,0.03
cool-01,15,3,0.422,8.0,19.0,0,0.0
cool-01,16,1,3.981,58.4,14.7,6,0.23
cool-01,16,2,2.009,27.8,13.9,3,0.03
cool-01,16,3,2.005,27.8,13.9,1,0.01
cool-01,17,1,0.532,8.6,16.2,1,0.01
cool-01,17,2,0.045,0.3,6.7,0,0.0
cool-01,17,3,0.051,0.3,6.2,0,0.0
cool-01,18,1,6.492,98.1,15.1,6,0.46
cool-01,18,2,3.934,64.2,16.3,3,0.01
cool-01,18,3,4.008,63.7,15.9,1,0.01
cool-01,19,1,0.034,0.1,1.5,0,0.0
cool-01,19,2,0.016,0.0,1.8,0,0.0
cool-01,19,3,0.013,0.0,2.4,0,0.0
cool-01,20,1,2.547,20.6,8.1,6,0.09
cool-01,20,2,0.038,0.5,13.0,0,0.0
cool-01,20,3,0.035,0.4,12.7,0,0.0
cool-01,21,1,0.265,2.5,9.5,0,0.0
cool-01,21,2,0.22,2.4,10.9,0,0.0
cool-01,21,3,0.203,2.6,12.5,0,0.0
cool-01,22,1,6.908,24.4,3.5,5,0.11
cool-01,22,2,0.39,2.8,7.1,0,0.0
cool-01,22,3,0.341,2.9,8.4,0,0.0
cool-01,23,1,0.574,3.7,6.5,0,0.0
cool-01,23,2,0.149,0.5,3.2,0,0.0
cool-01,23,3,0.134,0.4,2.9,0,0.0
cool-01,24,1,0.105,0.2,1.8,0,0.0
cool-01,24,2,0.11,1.4,12.6,1,0.09
cool-01,24,3,0.026,0.2,6.1,0,0.0
cool-01,25,1,0.364,3.3,9.1,2,0.0
cool-01,25,2,0.103,0.8,7.9,0,0.0
cool-01,25,3,0.087,0.6,7.4,0,0.0
cool-01,26,1,0.037,0.1,1.9,0,0.0
